,mun,year,concepto,prop_ingr,hist,t,monto
237,Abasolo,1990,Otros,13.85142025,b,eg,213328.7096
238,Abasolo,2000,Gasto corriente,2389.05529,b,eg,13441618.23
239,Abasolo,2000,Inversión,238.0190931,b,eg,1339174.44
240,Abasolo,2000,Deuda,2.252187749,b,eg,12671.556
241,Abasolo,2000,Otros,80.18337311,b,eg,451138.278
242,Abasolo,2010,Gasto corriente,4305.017198,b,eg,17335679.1684
243,Abasolo,2010,Inversión,2077.712648,b,eg,8366647.148800001
244,Abasolo,2010,Deuda,52.15621641,b,eg,210025.5104
245,Abasolo,2010,Otros,227.4399857,b,eg,915867.7980000001
246,Abasolo,2015,Gasto corriente,5665.518757,b,eg,18152378.1864
247,Abasolo,2015,Inversión,6950.651004,b,eg,22269954.6288
248,Abasolo,2015,Deuda,0.0,b,eg,0.0
249,Abasolo,2015,Otros,2504.103827,b,eg,8023173.453
250,Apodaca,1990,Gasto corriente,49.21676602,b,eg,63992589.2436
251,Apodaca,1990,Inversión,78.90063237,b,eg,102588125.2748
252,Apodaca,1990,Deuda,1.632707289,b,eg,2122877.5344000002
253,Apodaca,1990,Otros,17.29681744,b,eg,22489655.9272
254,Apodaca,2000,Gasto corriente,445.1815963,b,eg,282452713.986
255,Apodaca,2000,Inversión,430.25340660000006,b,eg,272981280.9
256,Apodaca,2000,Deuda,26.94270839,b,eg,17094240.126
257,Apodaca,2000,Otros,38.49105987,b,eg,24421279.8
258,Apodaca,2010,Gasto corriente,769.5816994,b,eg,581125175.2872
259,Apodaca,2010,Inversión,1044.663725,b,eg,788844629.5912
260,Apodaca,2010,Deuda,108.8258364,b,eg,82176373.61840001
261,Apodaca,2010,Otros,26.074790300000004,b,eg,19689549.656400003
262,Apodaca,2015,Gasto corriente,1828.154347,b,eg,1325538078.2793
263,Apodaca,2015,Inversión,883.1894151,b,eg,640373282.5041
264,Apodaca,2015,Deuda,322.3211031,b,eg,233705045.9079
265,Apodaca,2015,Otros,94.56496826,b,eg,68566128.7401
266,Apodaca,2018,Gasto corriente,2039.4038449999998,b,eg,1373159015.8704002
267,Apodaca,2018,Inversión,943.9246747999999,b,eg,635557631.6628001
268,Apodaca,2018,Deuda,13.63229835,b,eg,9178816.363200001
269,Apodaca,2018,Otros,141.5661141,b,eg,95318436.52980001
270,Cadereyta,1990,Gasto corriente,61.45849352,b,eg,36939013.5868
271,Cadereyta,1990,Inversión,13.53131649,b,eg,8132862.602
272,Cadereyta,1990,Deuda,3.7601246689999996,b,eg,2259985.37
273,Cadereyta,1990,Otros,7.209790601,b,eg,4333372.618
274,Cadereyta,2000,Gasto corriente,644.669047,b,eg,108292822.932
275,Cadereyta,2000,Inversión,355.8246313,b,eg,59772148.158
276,Cadereyta,2000,Deuda,52.94836062,b,eg,8894373.738
277,Cadereyta,2000,Otros,65.22732784,b,eg,10957019.724
278,Cadereyta,2010,Gasto corriente,2093.1786690000004,b,eg,261067200.724
279,Cadereyta,2010,Inversión,594.1537509,b,eg,74104546.77880001
280,Cadereyta,2010,Deuda,0.0,b,eg,0.0
281,Cadereyta,2010,Otros,98.89519348,b,eg,12334489.986000001
282,Cadereyta,2015,Gasto corriente,1348.30631,b,eg,156387122.2395
283,Cadereyta,2015,Inversión,235.1571168,b,eg,27275363.55
