mun,year,concepto,prop_ingr,hist,t,monto
Guadalupe,2000,Otros,75.37081482,a,eg,50510656
Guadalupe,2010,Gasto corriente,1479.019687,a,eg,1002784222
Guadalupe,2010,Inversión,469.0696719,a,eg,318032052
Guadalupe,2010,Deuda,70.26836636,a,eg,47642374
Guadalupe,2010,Otros,145.9355802,a,eg,98945199
Guadalupe,2015,Gasto corriente,1880.731888,a,eg,1284314192
Guadalupe,2015,Inversión,578.222616,a,eg,394856660
Guadalupe,2015,Deuda,95.35911873,a,eg,65118835
Guadalupe,2015,Otros,100.3552469,a,eg,68530591
Guadalupe,2018,Gasto corriente,2431.395914,a,eg,1708814225
Guadalupe,2018,Inversión,931.9168327,a,eg,654962333
Guadalupe,2018,Deuda,168.5814457,a,eg,118481063
Guadalupe,2018,Otros,73.35798194,a,eg,51556870
Juárez,1990,Gasto corriente,57.37566931,b,eg,1607322
Juárez,1990,Inversión,22.6152281,b,eg,633543
Juárez,1990,Deuda,4.660955237,b,eg,130572
Juárez,1990,Otros,5.655565075,b,eg,158435
Juárez,2000,Gasto corriente,358.7108742,b,eg,23853197
Juárez,2000,Inversión,151.3002241,b,eg,10061011
Juárez,2000,Deuda,0,b,eg,0
Juárez,2000,Otros,337.7136563,b,eg,22456945
Juárez,2010,Gasto corriente,782.0927385,b,eg,200974371
Juárez,2010,Inversión,488.7981165,b,eg,125606452
Juárez,2010,Deuda,22.88924388,b,eg,5881849
Juárez,2010,Otros,32.540172,b,eg,8361848
Juárez,2015,Gasto corriente,1461.455897,b,eg,487367774
Juárez,2015,Inversión,314.6562863,b,eg,104931893
Juárez,2015,Deuda,266.9739745,b,eg,89030748
Juárez,2015,Otros,47.37101664,b,eg,15797334
Juárez,2018,Gasto corriente,1847.342996,b,eg,690398261
Juárez,2018,Inversión,327.9157,b,eg,122550295
Juárez,2018,Deuda,75.71542979,b,eg,28296749
Juárez,2018,Otros,25.8998622,b,eg,9679426
Monterrey,1990,Gasto corriente,100.201493,a,eg,107139244
Monterrey,1990,Inversión,48.23094016,a,eg,51570354
Monterrey,1990,Deuda,0.877176082,a,eg,937910
Monterrey,1990,Otros,3.425165398,a,eg,3662317
Monterrey,2000,Gasto corriente,914.5389231,a,eg,1016050000
Monterrey,2000,Inversión,458.6979083,a,eg,509612000
Monterrey,2000,Deuda,49.2521582,a,eg,54719000
Monterrey,2000,Otros,119.0300244,a,eg,132242000
Monterrey,2010,Gasto corriente,2149.273338,a,eg,2440607339
Monterrey,2010,Inversión,849.4769918,a,eg,964623598
